更新順位,ユーザ獲得金額,ユーザNo,スコア,合計Bet金額,1位ランキングプール,2位ランキングプール,3位ランキングプール,4位ランキングプール,5位ランキングプール,6位ランキングプール,1位スコア,2位スコア,3位スコア,4位スコア,5位スコア,6位スコア
1,0.45,1,12095,1,0.45,0.23,0.11,0.06,0.03,0.03,12095,0,0,0,0,0
1,0.45,1,62730,2,0.45,0.45,0.23,0.11,0.06,0.06,62730,12095,0,0,0,0
2,0.68,1,52712,3,0.45,0.68,0.34,0.17,0.08,0.08,62730,52712,12095,0,0,0
1,0.45,1,64670,4,0.45,1,0.34,0.17,0.08,0.08,64670,62730,52712,12095,0,0
4,0.23,1,33416,5,0.45,1.23,0.45,0.23,0.11,0.11,64670,62730,52712,33416,12095,0
4,0.06,1,44790,6,0.9,0.68,1.34,0.06,0.14,0.14,64670,62730,52712,44790,33416,12095
5,0.17,1,41781,7,1.35,1.12,0.79,0.06,0.17,0.17,64670,62730,52712,44790,41781,33416
6,0.28,1,38822,11,3.15,2.25,1.58,1.01,0.11,0.28,64670,62730,52712,44790,41781,38822
4,1.63,1,50155,12,3.6,3.38,2.36,1.63,1.04,0.03,64670,62730,52712,50155,44790,41781
4,0.06,1,51453,13,4.05,3.83,3.49,0.06,1.07,0.06,64670,62730,52712,51453,50155,44790
3,3.94,1,61767,14,4.5,4.28,3.94,0.06,1.1,0.08,64670,62730,61767,52712,51453,50155
5,1.18,1,51494,17,5.85,5.17,0.34,0.23,1.18,0.17,64670,62730,61767,52712,51494,51453
4,0.56,1,58385,21,7.65,6.75,5.62,0.56,0.11,0.28,64670,62730,61767,58385,52712,51494
2,8.78,1,63765,26,9.9,8.78,7.31,0.28,0.25,0.42,64670,63765,62730,61767,58385,52712
6,0.42,1,54523,27,9.9,1,7.31,0.28,0.25,0.42,64670,63765,62730,61767,58385,54523
6,0.25,1,56299,36,13.95,11.92,2.01,7.82,0.53,0.25,64670,63765,62730,61767,58385,56299
6,0.23,1,57477,44,17.55,15.75,12.83,2.46,8.04,0.23,64670,63765,62730,61767,58385,57477
5,2.74,1,61194,54,22.05,19.8,16.87,13.39,2.74,0.28,64670,63765,62730,61767,61194,58385
6,1.01,1,59144,80,33.75,27.9,22.73,18.34,0.73,1.01,64670,63765,62730,61767,61194,59144
6,0.25,1,60951,89,37.8,35.77,28.91,23.23,18.59,0.25,64670,63765,62730,61767,61194,60951
1,41.85,1,64815,98,41.85,39.83,36.79,29.42,23.48,0.25,64815,64670,63765,62730,61767,61194
5,23.68,2,61978,105,3.15,41.4,37.57,29.81,23.68,0.45,64815,64670,63765,62730,61978,61767
3,42.75,2,63984,117,8.55,5.85,42.75,38.25,0.34,0.79,64815,64670,63984,63765,62730,61978
6,1.91,2,62646,157,26.55,17.55,4.5,40.5,1.46,1.91,64815,64670,63984,63765,62730,62646
5,40.98,2,63508,174,34.2,30.37,19.46,5.46,40.98,0.48,64815,64670,63984,63765,63508,62730
3,30.49,2,64553,175,34.65,34.42,30.49,19.52,0.03,0.51,64815,64670,64553,63984,63765,63508
6,1.27,3,63607,202,46.8,40.73,3.04,21.04,0.79,1.27,64815,64670,64553,63984,63765,63607
2,52.43,3,64695,227,58.05,52.43,43.54,4.44,21.74,0.7,64815,64695,64670,64553,63984,63765
1,59.4,3,65132,260,59.4,30.68,43.87,4.61,21.82,0.79,65132,64815,64695,64670,64553,63984
6,1.07,3,64376,270,4.5,32.93,45.0,5.18,22.11,1.07,65132,64815,64695,64670,64553,64376
6,2.0,4,64469,341,36.45,20.48,40.91,48.99,7.17,2.0,65132,64815,64695,64670,64553,64469
2,47.93,4,64913,392,59.4,47.93,26.21,43.78,50.43,1.43,65132,64913,64815,64695,64670,64553
1,59.4,4,65170,393,59.4,1,26.21,43.78,50.43,1.43,65170,65132,64913,64815,64695,64670
1,90.0,6,65400,593,90.0,46.0,48.71,55.03,56.05,7.06,65400,65170,65132,64913,64815,64695
3,57.04,7,65142,667,33.3,62.65,57.04,59.19,58.13,9.14,65400,65170,65142,65132,64913,64815
5,60.22,8,65091,741,66.6,49.95,8.32,63.36,60.22,11.22,65400,65170,65142,65132,65091,64913
6,13.92,9,65015,837,109.8,88.2,60.75,13.73,2.7,13.92,65400,65170,65142,65132,65091,65015
1,117.0,9,65433,853,117.0,113.4,90.0,61.65,14.18,0.45,65433,65400,65170,65142,65132,65091
1,6.75,9,65527,868,6.75,116.78,91.69,62.49,14.6,0.87,65527,65433,65400,65170,65142,65132
3,98.32,10,65413,927,26.55,130.05,98.32,65.81,16.26,2.53,65527,65433,65413,65400,65170,65142
5,23.65,12,65233,1190,144.9,85.72,29.59,80.61,23.65,9.93,65527,65433,65413,65400,65233,65170
6,13.5,14,65216,1317,202.05,173.47,100.01,36.73,3.57,13.5,65527,65433,65413,65400,65233,65216
5,39.83,15,65350,1427,251.55,226.8,185.85,106.2,39.83,3.09,65527,65433,65413,65400,65350,65233
2,285.98,16,65511,1580,320.4,285.98,244.01,194.46,4.3,7.4,65527,65511,65433,65413,65400,65350
3,248.06,18,65493,1777,336.6,169.1,248.06,196.48,5.32,8.41,65527,65511,65493,65433,65413,65400
3,3.71,19,65505,1810,351.45,344.02,3.71,198.34,6.24,9.34,65527,65511,65505,65493,65433,65413
2,355.27,19,65514,1827,359.1,355.27,1.91,199.29,6.72,9.82,65527,65514,65511,65505,65493,65433
5,13.72,23,65500,2256,471.15,236.02,29.93,213.3,13.72,16.82,65527,65514,65511,65505,65500,65493
5,26.66,33,65502,3204,897.75,684.45,342.68,83.25,26.66,43.48,65527,65514,65511,65505,65502,65500
4,422.16,47,65511,4617,1533.6,1215.67,843.41,422.16,39.74,83.22,65527,65514,65511,65511,65505,65502
1,2280.15,63,65532,6276,2280.15,1906.87,1402.31,93.32,86.4,129.88,65532,65527,65514,65511,65511,65505
4,245.08,90,65514,8974,1214.1,2513.92,1705.84,245.08,162.28,205.76,65532,65527,65514,65514,65511,65511
5,167.54,92,65512,9161,1298.25,1256.18,2534.96,10.52,167.54,211.02,65532,65527,65514,65514,65512,65511
3,1287.23,95,65527,9437,1422.45,1360.35,1287.23,2550.49,7.76,218.78,65532,65527,65527,65514,65514,65512
2,2484.67,142,65532,14158,3546.9,2484.67,531.11,2816.04,140.54,351.56,65532,65532,65527,65527,65514,65514
3,531.11,153,65531,15236,3546.9,1078,531.11,2816.04,140.54,351.56,65532,65532,65531,65527,65527,65514
4,2952.23,177,65531,17657,4636.35,4091.62,272.36,2952.23,208.63,419.65,65532,65532,65531,65531,65527,65527
3,4687.65,230,65532,22955,7020.45,5828.4,4687.65,298.01,357.64,568.66,65532,65532,65532,65531,65531,65527
1,8052.75,253,65533,25249,8052.75,7536.6,258.08,427.05,422.16,633.18,65533,65532,65532,65532,65531,65531
2,9973.13,361,65533,36078,4873.05,9973.13,1476.34,1036.18,726.72,937.74,65533,65533,65532,65532,65532,65531
1,15721.2,627,65534,62622,15721.2,7861.08,4188.38,2392.2,1404.73,1615.75,65534,65533,65533,65532,65532,65532
4,3815.61,880,65533,87927,11387.25,13554.7,7035.19,3815.61,2116.43,2327.46,65534,65533,65533,65533,65532,65532
2,12512.93,930,65534,92930,13638.6,12512.93,14117.54,281.42,2257.14,2468.17,65534,65534,65533,65533,65533,65532
1,13638.6,964,65535,96322,13638.6,3392,14117.54,281.42,2257.14,2468.17,65535,65534,65534,65533,65533,65533
